#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
NOS3	PPARG	4437409	4436745	9606.ENSP00000297494	9606.ENSP00000287820	0	0	0	0	0.053	0.091	0	0.741	0.757
IL7R	IL3	4438199	4437348	9606.ENSP00000306157	9606.ENSP00000296870	0	0	0	0	0	0	0.600	0.419	0.757
TLR2	RIPK2	4434743	4433128	9606.ENSP00000260010	9606.ENSP00000220751	0	0	0	0	0.062	0.432	0	0.582	0.757
IL10	IL27	4448642	4441919	9606.ENSP00000412237	9606.ENSP00000349365	0	0	0	0	0.076	0	0	0.747	0.757
TLR1	IFIH1	4442576	4435285	9606.ENSP00000354932	9606.ENSP00000263642	0	0	0	0	0.197	0	0	0.710	0.757
FN1	IL1B	4441661	4435241	9606.ENSP00000346839	9606.ENSP00000263341	0	0	0	0	0.061	0	0	0.751	0.757
TNF	ELAVL1	4448041	4447216	9606.ENSP00000398698	9606.ENSP00000385269	0	0	0	0	0	0.328	0	0.652	0.757
CCL7	CXCL9	4445079	4442567	9606.ENSP00000367832	9606.ENSP00000354901	0	0	0	0	0.107	0	0	0.739	0.757
HSPA4	TLR2	4437917	4434743	9606.ENSP00000302961	9606.ENSP00000260010	0	0	0	0	0	0.050	0	0.754	0.757
GSTA1	GSTM1	4440697	4438694	9606.ENSP00000335620	9606.ENSP00000311469	0	0	0	0.628	0	0	0.650	0.836	0.757
PTGS2	CSF2	4442894	4437349	9606.ENSP00000356438	9606.ENSP00000296871	0	0	0	0	0.095	0	0	0.743	0.757
CD163	HMOX1	4442211	4432912	9606.ENSP00000352071	9606.ENSP00000216117	0	0	0	0	0.108	0	0	0.739	0.757
ITGB3	PRKCB	4450406	4438120	9606.ENSP00000452786	9606.ENSP00000305355	0	0	0	0	0	0.412	0.600	0.050	0.757
TNFAIP3	CXCL8	4451592	4438229	9606.ENSP00000481570	9606.ENSP00000306512	0	0	0	0	0.537	0	0	0.496	0.757
MUC5AC	IL4	4452101	4433533	9606.ENSP00000485659	9606.ENSP00000231449	0	0	0	0	0	0	0	0.757	0.757
IL21	IFNG	4435442	4433446	9606.ENSP00000264497	9606.ENSP00000229135	0	0	0	0	0.095	0	0	0.742	0.756
EGF	GAPDH	4435570	4433451	9606.ENSP00000265171	9606.ENSP00000229239	0	0	0	0	0.055	0	0	0.753	0.756
DEFA1B	DEFB1	4445711	4437405	9606.ENSP00000372136	9606.ENSP00000297439	0	0	0	0	0	0	0	0.756	0.756
CCL4	GZMB	4451651	4432950	9606.ENSP00000482259	9606.ENSP00000216341	0	0	0	0	0.522	0	0	0.511	0.756
FOSB	MAPK14	4433953	4433482	9606.ENSP00000245919	9606.ENSP00000229795	0	0	0	0	0	0.264	0.600	0.238	0.756
IGF1	NOTCH1	4437883	4436260	9606.ENSP00000302665	9606.ENSP00000277541	0	0	0	0	0	0	0	0.756	0.756
PTPN22	CTLA4	4442291	4438004	9606.ENSP00000352833	9606.ENSP00000303939	0	0	0	0	0.097	0	0	0.741	0.756
IRGM	ZNF300	4449434	4447968	9606.ENSP00000428220	9606.ENSP00000397178	0	0	0	0	0	0	0	0.756	0.756
CCL8	CCR9	4446293	4442025	9606.ENSP00000378118	9606.ENSP00000350256	0	0	0	0	0	0.124	0.600	0.360	0.756
CREB1	EGF	4447522	4435570	9606.ENSP00000387699	9606.ENSP00000265171	0	0	0	0	0	0	0	0.756	0.756
SAA1	APOE	4447178	4434227	9606.ENSP00000384906	9606.ENSP00000252486	0	0	0	0	0	0	0.540	0.493	0.756
IL2RA	IL21	4445295	4435442	9606.ENSP00000369293	9606.ENSP00000264497	0	0	0	0	0	0	0.600	0.415	0.756
CD274	TLR4	4445568	4444300	9606.ENSP00000370989	9606.ENSP00000363089	0	0	0	0	0.118	0	0	0.735	0.756
IL22	IL7R	4450035	4438199	9606.ENSP00000442424	9606.ENSP00000306157	0	0	0	0	0	0	0.600	0.413	0.755
CCL4	CCL3L3	4451651	4451503	9606.ENSP00000482259	9606.ENSP00000480558	0	0	0	0.960	0.747	0	0	0.782	0.755
CD69	GZMB	4433409	4432950	9606.ENSP00000228434	9606.ENSP00000216341	0	0	0	0	0.125	0	0	0.732	0.755
JUN	ICAM1	4443699	4435501	9606.ENSP00000360266	9606.ENSP00000264832	0	0	0	0	0	0	0	0.755	0.755
JAK2	IL10RB	4445579	4436842	9606.ENSP00000371067	9606.ENSP00000290200	0	0	0	0	0	0.050	0.600	0.408	0.755
TLR8	IL1B	4438750	4435241	9606.ENSP00000312082	9606.ENSP00000263341	0	0	0	0	0.288	0	0	0.670	0.755
PTPRC	CCR5	4448605	4436956	9606.ENSP00000411355	9606.ENSP00000292303	0	0	0	0	0.354	0	0	0.637	0.755
CD86	CD209	4440320	4439000	9606.ENSP00000332049	9606.ENSP00000315477	0	0	0	0	0.089	0	0	0.742	0.755
TLR4	NOD1	4444300	4433257	9606.ENSP00000363089	9606.ENSP00000222823	0	0	0	0	0.082	0	0	0.744	0.755
ITGAM	NT5E	4449997	4434567	9606.ENSP00000441691	9606.ENSP00000257770	0	0	0	0	0	0	0	0.755	0.755
STAT5A	TP53	4441128	4435880	9606.ENSP00000341208	9606.ENSP00000269305	0	0	0	0	0	0	0	0.755	0.755
CASP1	TLR9	4449658	4442410	9606.ENSP00000433138	9606.ENSP00000353874	0	0	0	0	0.097	0.080	0	0.728	0.755
IL6	CXCL9	4447254	4442567	9606.ENSP00000385675	9606.ENSP00000354901	0	0	0	0	0.091	0	0	0.741	0.754
TLR5	IRAK1	4449957	4443435	9606.ENSP00000440643	9606.ENSP00000358997	0	0	0	0	0	0.177	0	0.713	0.754
PLA2G1B	CYP4F3	4438770	4433149	9606.ENSP00000312286	9606.ENSP00000221307	0	0	0	0	0	0	0.650	0.328	0.754
JUN	MMP3	4443699	4437610	9606.ENSP00000360266	9606.ENSP00000299855	0	0	0	0	0	0	0	0.754	0.754
ADIPOQ	IL18	4447630	4436375	9606.ENSP00000389814	9606.ENSP00000280357	0	0	0	0	0	0	0	0.754	0.754
IL10	MAPK14	4448642	4433482	9606.ENSP00000412237	9606.ENSP00000229795	0	0	0	0	0	0	0	0.754	0.754
ADIPOQ	HMOX1	4447630	4432912	9606.ENSP00000389814	9606.ENSP00000216117	0	0	0	0	0	0	0	0.754	0.754
TP53	KAT2A	4435880	4433343	9606.ENSP00000269305	9606.ENSP00000225916	0	0	0	0	0.062	0.543	0	0.473	0.754
CYP1A1	TP53	4445265	4435880	9606.ENSP00000369050	9606.ENSP00000269305	0	0	0	0	0	0.074	0	0.745	0.754
ADIPOQ	IL1B	4447630	4435241	9606.ENSP00000389814	9606.ENSP00000263341	0	0	0	0	0	0	0	0.754	0.754
TNF	TNFRSF14	4448041	4441780	9606.ENSP00000398698	9606.ENSP00000347948	0	0	0	0	0.119	0	0	0.733	0.754
CASP1	PANX1	4449658	4433395	9606.ENSP00000433138	9606.ENSP00000227638	0	0	0	0	0	0.194	0	0.707	0.754
CCL4L1	IL6	4451792	4447254	9606.ENSP00000483609	9606.ENSP00000385675	0	0	0	0	0.129	0	0	0.729	0.754
ANXA1	PLA2G1B	4444796	4438770	9606.ENSP00000366109	9606.ENSP00000312286	0	0	0	0	0.081	0	0	0.743	0.754
PER3	RORC	4451635	4439892	9606.ENSP00000482093	9606.ENSP00000327025	0	0	0	0	0.061	0	0	0.749	0.754
CD44	ICAM1	4448037	4435501	9606.ENSP00000398632	9606.ENSP00000264832	0	0	0	0	0.117	0	0	0.733	0.754
PTGS2	MAPK1	4442894	4432880	9606.ENSP00000356438	9606.ENSP00000215832	0	0	0	0	0	0.266	0	0.678	0.753
EP300	GAPDH	4435224	4433451	9606.ENSP00000263253	9606.ENSP00000229239	0	0	0	0	0.051	0.472	0	0.547	0.753
PLA2G1B	FADS2	4438770	4436312	9606.ENSP00000312286	9606.ENSP00000278840	0	0	0	0	0.050	0	0.650	0.319	0.753
IL10	CXCL9	4448642	4442567	9606.ENSP00000412237	9606.ENSP00000354901	0	0	0	0	0.081	0	0	0.742	0.753
FOXP3	TGFB1	4444690	4433189	9606.ENSP00000365380	9606.ENSP00000221930	0	0	0	0	0.062	0.269	0	0.669	0.753
IL4	CD69	4433533	4433409	9606.ENSP00000231449	9606.ENSP00000228434	0	0	0	0	0	0	0	0.753	0.753
IL17A	SELL	4441397	4433660	9606.ENSP00000344192	9606.ENSP00000236147	0	0	0	0	0	0	0	0.753	0.753
IGFBP5	VTN	4433604	4433357	9606.ENSP00000233813	9606.ENSP00000226218	0	0	0	0	0.062	0.379	0	0.610	0.753
FCRL3	PIGR	4443059	4441870	9606.ENSP00000357167	9606.ENSP00000348888	0	0	0	0	0	0	0	0.753	0.753
CD40	TLR2	4443911	4434743	9606.ENSP00000361359	9606.ENSP00000260010	0	0	0	0	0.091	0	0	0.738	0.752
CCL2	SERPINE1	4433339	4433266	9606.ENSP00000225831	9606.ENSP00000223095	0	0	0	0	0.122	0	0	0.730	0.752
IL10	CREB1	4448642	4447522	9606.ENSP00000412237	9606.ENSP00000387699	0	0	0	0	0	0	0	0.751	0.752
P4HB	XBP1	4439955	4432900	9606.ENSP00000327801	9606.ENSP00000216037	0	0	0	0	0.126	0	0	0.728	0.752
JUN	IGF1	4443699	4437883	9606.ENSP00000360266	9606.ENSP00000302665	0	0	0	0	0	0	0	0.752	0.752
PIGR	C3	4441870	4433951	9606.ENSP00000348888	9606.ENSP00000245907	0	0	0	0	0.064	0	0	0.746	0.752
TYMS	CENPU	4439011	4436429	9606.ENSP00000315644	9606.ENSP00000281453	0	0	0	0	0.699	0	0	0.211	0.752
ITGB2	SELL	4446737	4433660	9606.ENSP00000380948	9606.ENSP00000236147	0	0	0	0	0.423	0	0	0.588	0.752
DNTT	CASP9	4443688	4440164	9606.ENSP00000360216	9606.ENSP00000330237	0	0	0	0	0	0	0	0.752	0.752
THBD	SERPINE1	4444829	4433266	9606.ENSP00000366307	9606.ENSP00000223095	0	0	0	0	0.095	0	0	0.738	0.752
CREB1	GCG	4447522	4447518	9606.ENSP00000387699	9606.ENSP00000387662	0	0	0	0	0	0	0	0.751	0.752
MMP1	TGFB1	4439553	4433189	9606.ENSP00000322788	9606.ENSP00000221930	0	0	0	0	0.076	0	0	0.743	0.752
FOXP3	CD40	4444690	4443911	9606.ENSP00000365380	9606.ENSP00000361359	0	0	0	0	0	0	0	0.752	0.752
PIGR	FCRL4	4441870	4435981	9606.ENSP00000348888	9606.ENSP00000271532	0	0	0	0	0	0	0	0.751	0.751
IL6	RORC	4447254	4439892	9606.ENSP00000385675	9606.ENSP00000327025	0	0	0	0	0	0	0	0.751	0.751
MMP9	LGALS3	4443919	4434352	9606.ENSP00000361405	9606.ENSP00000254301	0	0	0	0	0.071	0	0	0.743	0.751
PTPRC	KDR	4448605	4435337	9606.ENSP00000411355	9606.ENSP00000263923	0	0	0	0	0.063	0.094	0	0.731	0.751
MAPK1	TNFRSF1A	4432880	4432688	9606.ENSP00000215832	9606.ENSP00000162749	0	0	0	0	0.054	0.472	0	0.543	0.751
HSD11B2	HPGD	4439082	4437300	9606.ENSP00000316786	9606.ENSP00000296522	0	0	0	0	0.059	0	0	0.746	0.751
FCGR1A	CD33	4443273	4435042	9606.ENSP00000358165	9606.ENSP00000262262	0	0	0	0	0.111	0	0	0.731	0.751
PLB1	PLA2G1B	4440186	4438770	9606.ENSP00000330442	9606.ENSP00000312286	0	0	0	0	0.061	0	0.650	0.303	0.751
MMP1	CXCL8	4439553	4438229	9606.ENSP00000322788	9606.ENSP00000306512	0	0	0	0	0.190	0	0	0.705	0.751
CTGF	MMP2	4442998	4433061	9606.ENSP00000356954	9606.ENSP00000219070	0	0	0	0	0.261	0	0	0.677	0.751
IL10	APOE	4448642	4434227	9606.ENSP00000412237	9606.ENSP00000252486	0	0	0	0	0	0	0	0.751	0.751
THBD	ENTPD1	4444829	4443695	9606.ENSP00000366307	9606.ENSP00000360250	0	0	0	0	0.062	0	0	0.745	0.751
MST1	APEH	4448725	4437283	9606.ENSP00000414287	9606.ENSP00000296456	0	0	0	0	0.061	0	0	0.746	0.751
TLR4	CSF2	4444300	4437349	9606.ENSP00000363089	9606.ENSP00000296871	0	0	0	0	0	0	0	0.751	0.751
NOS1	HMOX1	4451263	4432912	9606.ENSP00000477999	9606.ENSP00000216117	0	0	0	0	0	0.472	0	0.546	0.750
COL1A1	TGFB1	4433346	4433189	9606.ENSP00000225964	9606.ENSP00000221930	0	0	0	0	0.061	0.299	0	0.651	0.750
IL7R	CD69	4438199	4433409	9606.ENSP00000306157	9606.ENSP00000228434	0	0	0	0	0.107	0	0	0.731	0.750
CCL7	CCL20	4445079	4442174	9606.ENSP00000367832	9606.ENSP00000351671	0	0	0	0	0.129	0	0	0.725	0.750
TSLP	TLR3	4440990	4437339	9606.ENSP00000339804	9606.ENSP00000296795	0	0	0	0	0	0	0	0.750	0.750
TNF	GAPDH	4448041	4433451	9606.ENSP00000398698	9606.ENSP00000229239	0	0	0	0	0	0	0	0.750	0.750
NLRC4	TLR2	4447203	4434743	9606.ENSP00000385090	9606.ENSP00000260010	0	0	0	0	0.280	0	0	0.668	0.750
TNF	IL21	4448041	4435442	9606.ENSP00000398698	9606.ENSP00000264497	0	0	0	0	0	0	0	0.750	0.750
LPL	PON1	4438536	4433224	9606.ENSP00000309757	9606.ENSP00000222381	0	0	0	0	0	0	0.540	0.479	0.750
PTPRC	FCGR1A	4448605	4443273	9606.ENSP00000411355	9606.ENSP00000358165	0	0	0	0	0.198	0.058	0	0.695	0.750
CXCR4	IL4	4447439	4433533	9606.ENSP00000386884	9606.ENSP00000231449	0	0	0	0	0.062	0	0	0.743	0.749
FOS	GHSR	4438204	4433795	9606.ENSP00000306245	9606.ENSP00000241256	0	0	0	0	0	0	0	0.748	0.749
PTPRC	IL6	4448605	4447254	9606.ENSP00000411355	9606.ENSP00000385675	0	0	0	0	0.061	0	0	0.744	0.749
MAP2K1	EGF	4437859	4435570	9606.ENSP00000302486	9606.ENSP00000265171	0	0	0	0	0.059	0	0	0.744	0.749
CREB1	SGK1	4447522	4442972	9606.ENSP00000387699	9606.ENSP00000356832	0	0	0	0	0	0.379	0	0.611	0.749
IL18	CCL2	4436375	4433339	9606.ENSP00000280357	9606.ENSP00000225831	0	0	0	0	0	0	0	0.749	0.749
IL18	CD69	4436375	4433409	9606.ENSP00000280357	9606.ENSP00000228434	0	0	0	0	0	0	0	0.748	0.749
PTGS2	IGF1	4442894	4437883	9606.ENSP00000356438	9606.ENSP00000302665	0	0	0	0	0	0	0	0.749	0.749
CXCL8	NFKBIA	4438229	4432983	9606.ENSP00000306512	9606.ENSP00000216797	0	0	0	0	0.272	0	0	0.670	0.749
CCR2	ICAM1	4436955	4435501	9606.ENSP00000292301	9606.ENSP00000264832	0	0	0	0	0.067	0	0	0.742	0.749
ARRB2	CCR5	4448286	4436956	9606.ENSP00000403701	9606.ENSP00000292303	0	0	0	0	0.088	0.193	0.600	0.249	0.749
PPARG	DECR1	4436745	4433130	9606.ENSP00000287820	9606.ENSP00000220764	0	0	0	0	0	0	0	0.749	0.749
CCL3L3	CXCR4	4451503	4447439	9606.ENSP00000480558	9606.ENSP00000386884	0	0	0	0	0.061	0	0.600	0.387	0.749
IL6	IL17F	4447254	4440787	9606.ENSP00000385675	9606.ENSP00000337432	0	0	0	0	0.051	0	0	0.746	0.749
IL19	IL23R	4441298	4439435	9606.ENSP00000343000	9606.ENSP00000321345	0	0	0	0	0	0	0.600	0.399	0.749
FN1	NOS3	4441661	4437409	9606.ENSP00000346839	9606.ENSP00000297494	0	0	0	0	0	0	0	0.749	0.749
RHOA	FN1	4448110	4441661	9606.ENSP00000400175	9606.ENSP00000346839	0	0	0	0	0	0	0	0.749	0.749
CXCL8	FOS	4438229	4438204	9606.ENSP00000306512	9606.ENSP00000306245	0	0	0	0	0.077	0	0	0.739	0.749
NKX2-3	MADCAM1	4441283	4432866	9606.ENSP00000342828	9606.ENSP00000215637	0	0	0	0	0	0	0	0.749	0.749
CREB1	PTGS2	4447522	4442894	9606.ENSP00000387699	9606.ENSP00000356438	0	0	0	0	0.051	0	0	0.746	0.749
CD19	IL7R	4449841	4438199	9606.ENSP00000437940	9606.ENSP00000306157	0	0	0	0	0.071	0	0	0.739	0.748
NR4A1	TP53	4449965	4435880	9606.ENSP00000440864	9606.ENSP00000269305	0	0	0	0	0	0.294	0	0.658	0.748
SELL	IFNG	4433660	4433446	9606.ENSP00000236147	9606.ENSP00000229135	0	0	0	0	0.062	0	0	0.742	0.748
LTA	IL1A	4448275	4435240	9606.ENSP00000403495	9606.ENSP00000263339	0	0	0	0	0.148	0	0	0.717	0.748
IL10	FOS	4448642	4438204	9606.ENSP00000412237	9606.ENSP00000306245	0	0	0	0	0	0.063	0	0.743	0.748
UBD	TAB2	4444818	4442887	9606.ENSP00000366249	9606.ENSP00000356426	0	0	0	0	0	0.566	0	0.445	0.748
CXCL12	IL17A	4446453	4441397	9606.ENSP00000379140	9606.ENSP00000344192	0	0	0	0	0	0	0	0.748	0.748
IGF1	GHSR	4437883	4433795	9606.ENSP00000302665	9606.ENSP00000241256	0	0	0	0	0	0	0	0.748	0.748
IL33	TLR3	4445550	4437339	9606.ENSP00000370842	9606.ENSP00000296795	0	0	0	0	0.061	0	0	0.743	0.748
IL32	CXCL8	4449620	4438229	9606.ENSP00000432218	9606.ENSP00000306512	0	0	0	0	0.076	0	0	0.738	0.748
EPHX1	C2orf43	4451441	4433693	9606.ENSP00000480004	9606.ENSP00000237822	0	0	0	0	0	0.737	0	0.079	0.747
IL6	CXCL6	4447254	4433365	9606.ENSP00000385675	9606.ENSP00000226317	0	0	0	0	0.193	0	0	0.700	0.747
RHOA	FAS	4448110	4441783	9606.ENSP00000400175	9606.ENSP00000347979	0	0	0	0	0	0.708	0	0.172	0.747
IL15	ICAM1	4437305	4435501	9606.ENSP00000296545	9606.ENSP00000264832	0	0	0	0	0.055	0	0	0.743	0.747
STAT4	EP300	4446006	4435224	9606.ENSP00000376134	9606.ENSP00000263253	0	0	0	0	0.061	0.186	0.600	0.270	0.747
KRT8	TP53	4450285	4435880	9606.ENSP00000449404	9606.ENSP00000269305	0	0	0	0	0.065	0	0	0.740	0.747
CNR1	FOS	4443334	4438204	9606.ENSP00000358513	9606.ENSP00000306245	0	0	0	0	0	0	0	0.747	0.747
BACH2	IL2	4434566	4433376	9606.ENSP00000257749	9606.ENSP00000226730	0	0	0	0	0	0.379	0	0.609	0.747
CSF2	IL18	4437349	4436375	9606.ENSP00000296871	9606.ENSP00000280357	0	0	0	0	0	0	0	0.747	0.747
LCN2	IL17A	4444080	4441397	9606.ENSP00000362108	9606.ENSP00000344192	0	0	0	0	0	0	0	0.747	0.747
CXCR4	PLG	4447439	4438461	9606.ENSP00000386884	9606.ENSP00000308938	0	0	0	0	0	0	0	0.746	0.747
TNF	CXCL9	4448041	4442567	9606.ENSP00000398698	9606.ENSP00000354901	0	0	0	0	0.117	0	0	0.725	0.747
IRAK1	IRF5	4443435	4441969	9606.ENSP00000358997	9606.ENSP00000349770	0	0	0	0	0.060	0.265	0	0.662	0.746
CD163	CCR5	4442211	4436956	9606.ENSP00000352071	9606.ENSP00000292303	0	0	0	0	0.520	0	0	0.493	0.746
ITGAX	CCR2	4450468	4436955	9606.ENSP00000454623	9606.ENSP00000292301	0	0	0	0	0.139	0	0	0.717	0.746
PTGS2	IL17A	4442894	4441397	9606.ENSP00000356438	9606.ENSP00000344192	0	0	0	0	0	0	0	0.746	0.746
JAK2	EGF	4445579	4435570	9606.ENSP00000371067	9606.ENSP00000265171	0	0	0	0	0	0.050	0	0.743	0.746
ENTPD1	ADORA3	4443695	4443373	9606.ENSP00000360250	9606.ENSP00000358730	0	0	0	0	0.088	0	0	0.733	0.746
FGF2	VTN	4435443	4433357	9606.ENSP00000264498	9606.ENSP00000226218	0	0	0	0	0	0.305	0	0.649	0.746
MMP2	MAPK1	4433061	4432880	9606.ENSP00000219070	9606.ENSP00000215832	0	0	0	0	0.049	0	0	0.743	0.746
TLR2	APOE	4434743	4434227	9606.ENSP00000260010	9606.ENSP00000252486	0	0	0	0	0	0	0	0.746	0.746
MMP9	IL13	4443919	4438088	9606.ENSP00000361405	9606.ENSP00000304915	0	0	0	0	0	0	0	0.745	0.746
CCL4	IL15	4451651	4437305	9606.ENSP00000482259	9606.ENSP00000296545	0	0	0	0	0.147	0	0	0.715	0.746
PLA2G4A	PLB1	4442892	4440186	9606.ENSP00000356436	9606.ENSP00000330442	0	0	0	0	0.065	0	0.650	0.288	0.746
MUC5AC	TFF3	4452101	4449556	9606.ENSP00000485659	9606.ENSP00000430690	0	0	0	0	0.076	0	0	0.736	0.746
PTPRC	CTSS	4448605	4443237	9606.ENSP00000411355	9606.ENSP00000357981	0	0	0	0	0.703	0	0	0.178	0.746
IRF4	CD40	4445477	4443911	9606.ENSP00000370343	9606.ENSP00000361359	0	0	0	0	0.084	0	0	0.734	0.746
AGER	CRP	4444498	4434405	9606.ENSP00000364210	9606.ENSP00000255030	0	0	0	0	0	0	0	0.745	0.745
IL13	IL12RB2	4438088	4435061	9606.ENSP00000304915	9606.ENSP00000262345	0	0	0	0	0	0	0.600	0.390	0.745
MMP1	IL1A	4439553	4435240	9606.ENSP00000322788	9606.ENSP00000263339	0	0	0	0	0.111	0	0	0.725	0.745
ENSG00000255819	CD244	4451508	4443016	9606.ENSP00000480609	9606.ENSP00000357012	0	0	0	0	0.131	0	0	0.719	0.745
IL17A	TLR2	4441397	4434743	9606.ENSP00000344192	9606.ENSP00000260010	0	0	0	0	0.061	0	0	0.740	0.745
CCL4	IL4	4451651	4433533	9606.ENSP00000482259	9606.ENSP00000231449	0	0	0	0	0.062	0	0	0.740	0.745
KAT5	HDAC6	4441035	4440521	9606.ENSP00000340330	9606.ENSP00000334061	0	0	0	0	0.063	0.472	0	0.525	0.745
NR1I2	TP53	4440710	4435880	9606.ENSP00000336528	9606.ENSP00000269305	0	0	0	0	0	0.379	0	0.606	0.745
TNF	IL3	4448041	4437348	9606.ENSP00000398698	9606.ENSP00000296870	0	0	0	0	0	0	0	0.745	0.745
IL10	IL6ST	4448642	4445526	9606.ENSP00000412237	9606.ENSP00000370698	0	0	0	0	0	0	0.600	0.389	0.745
AIF1	GAPDH	4444670	4433451	9606.ENSP00000365227	9606.ENSP00000229239	0	0	0	0	0.042	0.261	0	0.668	0.745
VEGFA	GAPDH	4451310	4433451	9606.ENSP00000478570	9606.ENSP00000229239	0	0	0	0	0	0	0	0.745	0.745
TSLP	IL3RA	4440990	4439962	9606.ENSP00000339804	9606.ENSP00000327890	0	0	0	0	0	0	0.600	0.389	0.745
CXCL8	CFTR	4438229	4432552	9606.ENSP00000306512	9606.ENSP00000003084	0	0	0	0	0.061	0	0	0.740	0.745
CTGF	AGT	4442998	4442719	9606.ENSP00000356954	9606.ENSP00000355627	0	0	0	0	0.071	0	0	0.737	0.745
FASLG	CD86	4442944	4440320	9606.ENSP00000356694	9606.ENSP00000332049	0	0	0	0	0.069	0	0	0.738	0.745
ITGAX	TLR9	4450468	4442410	9606.ENSP00000454623	9606.ENSP00000353874	0	0	0	0	0.102	0.055	0	0.724	0.745
CXCL8	FGF2	4438229	4435443	9606.ENSP00000306512	9606.ENSP00000264498	0	0	0	0	0	0	0	0.745	0.745
FOXP3	IL9	4444690	4436141	9606.ENSP00000365380	9606.ENSP00000274520	0	0	0	0	0	0.261	0	0.670	0.745
ENSG00000255819	GZMB	4451508	4432950	9606.ENSP00000480609	9606.ENSP00000216341	0	0	0	0	0.101	0	0	0.727	0.744
MMP9	GAPDH	4443919	4433451	9606.ENSP00000361405	9606.ENSP00000229239	0	0	0	0	0	0	0	0.744	0.744
TLR8	FCGR2A	4438750	4435978	9606.ENSP00000312082	9606.ENSP00000271450	0	0	0	0	0.536	0	0	0.471	0.744
CSF2RA	IL6	4447840	4447254	9606.ENSP00000394227	9606.ENSP00000385675	0	0	0	0	0	0	0.600	0.387	0.744
PTGS2	FN1	4442894	4441661	9606.ENSP00000356438	9606.ENSP00000346839	0	0	0	0	0.061	0	0	0.738	0.744
IRF4	IL9	4445477	4436141	9606.ENSP00000370343	9606.ENSP00000274520	0	0	0	0	0	0	0	0.743	0.744
POU5F1	ABCG2	4434735	4433689	9606.ENSP00000259915	9606.ENSP00000237612	0	0	0	0	0	0	0	0.744	0.744
TLR9	IFIH1	4442410	4435285	9606.ENSP00000353874	9606.ENSP00000263642	0	0	0	0	0.061	0	0	0.739	0.744
PTGS2	CDH1	4442894	4434944	9606.ENSP00000356438	9606.ENSP00000261769	0	0	0	0	0	0.074	0	0.735	0.744
CTGF	NOTCH1	4442998	4436260	9606.ENSP00000356954	9606.ENSP00000277541	0	0	0	0	0	0	0	0.744	0.744
SPP1	F2	4446370	4438421	9606.ENSP00000378517	9606.ENSP00000308541	0	0	0	0	0.062	0.515	0	0.483	0.744
CD44	MCAM	4448037	4435364	9606.ENSP00000398632	9606.ENSP00000264036	0	0	0	0	0.052	0	0	0.740	0.744
ZNF148	TP53	4442407	4435880	9606.ENSP00000353863	9606.ENSP00000269305	0	0	0	0	0	0.388	0	0.598	0.744
GHR	IGFBP3	4451768	4445494	9606.ENSP00000483403	9606.ENSP00000370473	0	0	0	0	0.062	0	0	0.739	0.744
TAGAP	IL18RAP	4442799	4435408	9606.ENSP00000356033	9606.ENSP00000264260	0	0	0	0	0.329	0	0	0.634	0.743
THBD	HMGB1	4444829	4441512	9606.ENSP00000366307	9606.ENSP00000345347	0	0	0	0	0	0	0	0.743	0.743
RELA	TWIST1	4447098	4433815	9606.ENSP00000384273	9606.ENSP00000242261	0	0	0	0	0	0.379	0	0.603	0.743
IL4	AICDA	4433533	4433465	9606.ENSP00000231449	9606.ENSP00000229335	0	0	0	0	0	0	0	0.743	0.743
MTR	TYMS	4442697	4439011	9606.ENSP00000355536	9606.ENSP00000315644	0	0	0	0	0	0	0	0.743	0.743
EGF	IL1B	4435570	4435241	9606.ENSP00000265171	9606.ENSP00000263341	0	0	0	0	0	0	0	0.743	0.743
ICAM1	MMP2	4435501	4433061	9606.ENSP00000264832	9606.ENSP00000219070	0	0	0	0	0	0	0	0.743	0.743
NLRC4	TLR8	4447203	4438750	9606.ENSP00000385090	9606.ENSP00000312082	0	0	0	0	0.334	0	0	0.631	0.743
FN1	F2	4441661	4438421	9606.ENSP00000346839	9606.ENSP00000308541	0	0	0	0	0.076	0.264	0	0.653	0.743
TLR4	STAT6	4444300	4437641	9606.ENSP00000363089	9606.ENSP00000300134	0	0	0	0	0.077	0.083	0	0.720	0.743
MUC5AC	CDX2	4452101	4445485	9606.ENSP00000485659	9606.ENSP00000370408	0	0	0	0	0.051	0.056	0	0.737	0.743
PTGS2	LEP	4442894	4438805	9606.ENSP00000356438	9606.ENSP00000312652	0	0	0	0	0	0	0	0.743	0.743
JUN	CTGF	4443699	4442998	9606.ENSP00000360266	9606.ENSP00000356954	0	0	0	0	0.084	0	0	0.731	0.743
ITGAM	IL15	4449997	4437305	9606.ENSP00000441691	9606.ENSP00000296545	0	0	0	0	0	0	0	0.743	0.743
CXCR4	GRK5	4447439	4446086	9606.ENSP00000386884	9606.ENSP00000376609	0	0	0	0	0	0.173	0.600	0.286	0.743
TLR2	IFNG	4434743	4433446	9606.ENSP00000260010	9606.ENSP00000229135	0	0	0	0	0.063	0	0	0.737	0.743
CD44	HGF	4448037	4433227	9606.ENSP00000398632	9606.ENSP00000222390	0	0	0	0	0.072	0.305	0	0.634	0.743
IL17A	IL1A	4441397	4435240	9606.ENSP00000344192	9606.ENSP00000263339	0	0	0	0	0	0	0	0.743	0.743
